,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,price,age_when_sold,neighb_category
571,1,0,1,2322,1254,300000,75,1.0
572,1,0,1,2460,504,324450,70,1.0
573,1,0,1,7800,782,450000,75,1.0
574,1,0,1,2828,1759,415900,50,1.0
575,1,0,1,3742,852,415000,85,1.0
576,1,0,1,2500,897,343500,90,1.0
577,1,0,1,4688,1084,405000,68,1.0
578,1,0,1,5000,2600,640000,116,1.0
579,1,0,1,3942,759,393432,85,1.0
580,1,0,1,52500,2323,1200000,95,1.0
581,2,0,2,3135,1125,312724,65,1.0
582,2,0,2,3599,1728,100000,96,1.0
583,1,0,1,950,501,327500,95,1.0
584,3,0,3,2500,2500,699000,26,1.0
585,4,0,4,8036,3200,850000,25,1.0
586,3,2,5,8775,2580,420000,105,1.0
587,0,2,2,5500,3900,899000,28,1.0
588,1,0,1,6400,2686,977777,57,
589,1,0,1,14520,2814,850000,36,
590,1,0,1,1767,1496,350000,65,1.0
591,1,0,1,1505,1453,460000,55,1.0
592,1,0,1,2375,1320,325000,112,1.0
593,1,0,1,2375,1988,240000,55,1.0
594,1,0,1,2375,1988,300000,55,1.0
595,1,0,1,2500,1696,405600,95,1.0
596,1,0,1,4750,2328,610000,95,1.0
597,1,0,1,2500,1305,210000,75,1.0
598,1,0,1,2500,1305,150000,75,1.0
599,1,0,1,1501,1636,415000,60,1.0
